unit,s_adj,nace_r2,na_item,geo,time,values
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2021-10-01,68894.6
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2021-07-01,69181.8
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2021-04-01,66624.7
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2021-01-01,63921.7
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2020-10-01,64879.9
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2020-07-01,66621.7
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2020-04-01,60197.6
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2020-01-01,67523.8
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2019-10-01,69062.5
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2019-07-01,69476.9
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2019-04-01,69396.6
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2019-01-01,69641.5
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2018-10-01,69442.3
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2018-07-01,68329.8
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2018-04-01,68072.5
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2018-01-01,67859.6
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2017-10-01,67404.8
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2017-07-01,66900.3
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2017-04-01,66453
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2017-01-01,66080.4
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2016-10-01,65892.3
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2016-07-01,65183
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2016-04-01,64855.7
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2016-01-01,64597.6
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2015-10-01,64183.2
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2015-07-01,64149.4
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2015-04-01,63660.1
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2015-01-01,63587.3
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2014-10-01,63447.4
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2014-07-01,63537.6
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2014-04-01,63381.3
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2014-01-01,63140
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2013-10-01,63226.3
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2013-07-01,62873.2
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2013-04-01,62709.5
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2013-01-01,62625.8
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2012-10-01,62537.1
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2012-07-01,62719.9
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2012-04-01,62745.5
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2012-01-01,63192.1
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2011-10-01,62757.7
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2011-07-01,62621.6
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2011-04-01,62404.8
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2011-01-01,61921.5
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2010-10-01,61498.4
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2010-07-01,60789.2
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2010-04-01,60056.2
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2010-01-01,59177.9
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2009-10-01,59467.6
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2009-07-01,59211.1
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2009-04-01,59001.9
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2009-01-01,59542
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2008-10-01,60677.1
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2008-07-01,62171
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2008-04-01,62495.4
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2008-01-01,62237.9
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2007-10-01,61514.3
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2007-07-01,61086.1
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2007-04-01,60700.4
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2007-01-01,60146.8
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2006-10-01,59642.3
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2006-07-01,58801
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2006-04-01,58266.2
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2006-01-01,57824.7
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2005-10-01,57227.4
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2005-07-01,56635.6
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2005-04-01,56369
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2005-01-01,55497
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2004-10-01,55522.8
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2004-07-01,55399.3
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2004-04-01,54949.8
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2004-01-01,54343.1
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2003-10-01,53835.6
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2003-07-01,53767.3
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2003-04-01,53416.9
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2003-01-01,53455.6
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2002-10-01,52976.1
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2002-07-01,53077.9
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2002-04-01,52877.8
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2002-01-01,53032.2
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2001-10-01,52245.6
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2001-07-01,52150.6
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2001-04-01,52060.3
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2001-01-01,52212.9
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2000-10-01,52301.3
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2000-07-01,51575.5
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2000-04-01,51237.6
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2000-01-01,50803
CLV05_MEUR,SCA,NA,Export,AT,2021-10-01,48711.2
CLV05_MEUR,SCA,NA,Export,AT,2021-07-01,47646.6
CLV05_MEUR,SCA,NA,Export,AT,2021-04-01,47179.9
CLV05_MEUR,SCA,NA,Export,AT,2021-01-01,43107.8
CLV05_MEUR,SCA,NA,Export,AT,2020-10-01,44031.8
CLV05_MEUR,SCA,NA,Export,AT,2020-07-01,43240.9
CLV05_MEUR,SCA,NA,Export,AT,2020-04-01,37319
CLV05_MEUR,SCA,NA,Export,AT,2020-01-01,45970.8
